Case_Number,Project_tech_ID,YK,Project_name,Business_names,Protype_names,Hardware_names,Duration,Size_ep99_proj,Worksup,SituCoeff,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,InpTot,InpFP,InqTot,InqFP,OutTot,OutFP,IntTot,IntFP,EntTot,EntFP,AlgTot,AlgFP,AllTot,AllFP_ep20
141,4704,Q,PN229,B,N,M,12,138,3440,101,3,4,5,3,3,2,3,3,1,1,2,5,5,1,1,2,4,4,3,3,3,4,15,7,39,6,34,1,5,2,12,7,28,27,133
142,4724,Q,PN230,B,N,C,9,257,1981,147,3,4,3,3,3,2,3,3,1,1,2,3,3,1,1,2,4,4,4,3,3,5,19,6,23,0,0,7,55,15,103,3,12,36,212
143,4734,Q,PN231,B,N,M,30,423,13700,193,2,3,3,3,3,2,2,2,1,1,2,4,4,1,1,2,4,4,2,3,3,25,116,22,84,8,42,2,10,12,83,12,52,81,387
144,4744,Q,PN232,B,N,N,20,495,7105,87,4,2,4,3,3,3,3,3,3,3,3,3,5,1,3,3,4,3,4,3,4,44,125,23,49,15,64,1,2,20,140,11,54,114,434
145,4754,Q,PN233,B,N,C,16,203,6816,158,2,3,3,3,3,2,3,3,2,2,3,3,2,2,3,2,3,2,4,3,3,25,125,17,60,7,37,22,170,19,122,10,50,100,564
146,4764,Q,PN234,B,N,M,12,204,4620,162,3,3,3,3,3,3,3,4,1,1,2,4,4,1,1,1,4,3,2,3,3,13,46,3,16,0,0,5,30,8,37,11,55,40,184
147,4844,Q,PN235,B,N,C,15,616,7551,196,2,3,2,3,3,3,3,2,1,1,3,4,1,1,2,1,5,1,5,3,4,64,227,15,50,8,38,30,210,10,56,2,8,129,589
148,4964,Q,PN236,B,N,C,33,2362,39479,119,2,4,3,3,3,3,3,3,3,3,2,2,1,1,1,1,4,4,5,3,4,140,493,131,248,38,214,186,2058,56,410,7,35,558,3458
149,3074,U,PN237,M,N,N,21,279,1280,90,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,33,63,33,47,10,51,0,0,13,83,0,0,89,244
150,3084,U,PN238,M,N,P,6,260,480,85,5,3,2,3,3,4,1,4,3,3,2,4,4,4,3,3,3,4,2,3,3,14,42,13,46,7,45,5,33,9,40,4,34,52,240
151,3094,U,PN239,M,N,N,18,370,1979,85,4,3,4,3,3,3,4,5,2,2,1,4,4,3,1,2,4,3,2,3,4,22,91,12,62,3,21,5,41,11,78,5,38,58,331
152,3104,U,PN240,M,N,N,16,314,2092,100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,38,84,14,31,5,27,9,48,13,83,2,5,81,278
153,3794,U,PN241,M,N,I,18,1584,6030,94,4,4,3,3,3,3,3,3,3,3,3,2,2,3,1,3,4,2,4,3,3,198,404,54,67,46,250,11,74,53,536,0,0,362,1331
154,3804,U,PN242,M,N,M,26,464,1750,108,4,2,3,3,3,3,3,4,3,3,3,3,5,3,3,2,2,3,2,3,3,28,86,5,5,12,61,1,2,27,218,0,0,73,372
155,3814,U,PN243,M,N,M,17,528,2240,72,4,3,4,3,3,3,3,3,3,3,4,3,4,4,3,4,2,2,5,3,3,33,100,59,125,7,50,2,12,24,169,0,0,125,456
156,3834,U,PN244,M,N,M,8,233,1105,72,4,4,4,3,3,3,3,4,3,3,4,4,5,2,3,2,2,5,1,3,3,13,25,22,80,1,4,0,0,11,85,0,0,47,194
157,3844,U,PN245,M,N,M,14,577,2915,38,4,3,4,3,3,3,4,4,4,4,2,3,5,3,3,3,4,5,5,3,4,65,177,32,99,0,0,0,0,31,211,0,0,128,487
158,4264,U,PN246,M,N,M,36,1613,5984,91,4,2,3,3,3,3,3,4,3,3,3,2,4,1,3,2,4,4,4,3,3,120,433,80,392,3,14,4,8,48,522,0,0,255,1369
159,4274,U,PN247,M,N,M,15,1003,4065,99,4,4,3,3,3,3,3,3,3,3,2,2,5,1,1,1,3,5,3,3,4,51,182,29,80,24,180,0,0,36,387,0,0,140,829
160,4284,U,PN248,M,N,M,12,267,565,64,3,3,3,3,3,3,3,4,3,3,3,4,5,4,2,2,3,5,3,3,3,9,22,41,163,1,4,0,0,10,53,0,0,61,242
161,4294,U,PN249,M,N,M,8,219,1048,68,4,4,3,3,3,3,4,4,3,3,3,5,5,3,3,2,2,5,3,3,2,15,48,15,82,4,30,0,0,6,41,0,0,40,201
162,2354,AF,PN250,C,N,N,14,84,2459,123,4,3,3,2,3,3,3,3,2,2,2,4,4,1,1,2,4,4,3,3,3,9,32,1,3,7,16,2,7,4,26,0,0,23,84
163,2924,AF,PN251,C,N,N,12,204,1091,84,3,3,3,2,2,3,3,3,3,2,4,5,2,3,3,3,4,3,3,4,3,19,87,15,66,8,29,11,22,0,0,0,0,53,204
164,3704,T,PN252,P,N,M,30,1814,4500,100,4,3,3,3,3,4,3,3,3,3,2,2,1,3,3,2,3,4,4,3,3,65,252,104,283,61,227,30,291,50,521,0,0,310,1574
165,3724,T,PN253,P,N,I,11,609,1455,60,3,4,5,3,3,3,3,3,4,4,1,4,4,2,1,3,4,4,4,3,3,22,79,88,397,2,15,2,9,12,76,2,13,128,589
166,3734,T,PN254,P,N,U,1,210,0,72,3,3,3,3,3,3,3,3,4,4,2,4,5,2,3,3,3,4,4,3,3,11,24,19,72,14,37,0,0,8,54,0,0,52,187
167,3744,T,PN255,P,N,N,20,321,1230,158,2,2,1,3,3,3,3,3,1,1,2,5,2,3,5,2,2,4,4,3,3,1,4,15,27,2,7,23,263,2,14,0,0,43,315
168,4134,T,PN256,P,N,M,15,876,3300,102,2,3,2,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,4,105,373,39,136,22,138,2,9,22,155,0,0,190,811
169,4154,T,PN257,P,N,P,18,626,2500,102,3,3,3,3,3,3,3,3,3,3,2,3,4,1,2,4,4,3,3,3,3,60,134,31,36,43,192,3,15,26,172,1,4,164,553
170,4164,T,PN258,P,N,M,22,703,3450,179,3,2,3,3,3,4,3,2,2,2,2,3,5,2,2,2,2,2,3,3,4,64,245,6,15,33,249,0,0,16,132,0,0,119,641
171,4174,T,PN259,P,N,N,28,1073,3650,99,1,3,2,3,3,4,3,4,3,3,2,2,4,2,3,3,4,3,3,3,4,78,198,32,76,47,203,3,14,41,392,0,0,201,883
172,1744,X,PN260,I,N,N,21,633,7560,110,3,3,3,3,3,4,2,3,3,3,3,2,4,3,3,4,3,3,1,3,3,52,105,8,25,8,47,3,9,36,303,0,0,107,489
173,2704,X,PN261,I,N,N,20,765,4410,157,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,62,290,42,161,9,45,2,17,24,171,7,7,146,691
174,3454,X,PN262,I,N,N,15,954,14840,141,3,3,3,3,3,4,3,3,2,2,3,3,2,3,3,3,3,3,1,3,3,53,265,32,143,22,112,13,77,32,229,5,26,157,852
175,3614,X,PN263,I,N,M,25,1364,17778,98,5,4,4,3,3,1,4,3,2,2,2,2,2,1,2,3,4,5,3,3,4,89,485,32,67,43,273,17,119,51,282,0,0,232,1226
176,3624,X,PN264,I,N,M,39,648,8800,144,4,4,1,3,3,3,3,3,3,3,3,3,1,3,2,3,2,2,4,3,3,10,33,0,0,19,100,36,246,24,185,0,0,89,564
177,3634,X,PN265,I,N,M,30,1282,26670,190,4,2,4,3,3,2,3,3,3,3,2,3,1,3,3,2,2,1,1,3,4,96,514,51,255,23,166,29,172,20,118,0,0,219,1225
178,3644,X,PN266,I,N,M,10,176,1330,86,3,5,5,3,3,1,5,3,3,3,2,4,4,3,2,2,3,3,2,3,3,10,40,8,32,4,20,2,14,7,49,0,0,31,155
179,3654,X,PN267,I,N,M,30,626,14504,80,3,4,3,3,3,4,1,2,2,2,2,3,2,4,5,4,4,4,5,3,3,20,80,20,80,28,140,18,126,20,140,0,0,106,566
180,3664,X,PN268,I,N,M,24,1026,8498,186,3,2,3,3,3,3,3,2,3,3,3,3,1,3,1,2,3,2,2,3,3,42,162,40,160,40,194,30,210,30,210,0,0,182,936
181,3674,X,PN269,I,N,M,26,561,4830,116,5,3,5,3,3,2,3,2,2,2,2,3,2,3,3,1,3,2,4,3,4,21,81,20,80,29,145,15,105,15,105,0,0,100,516
182,1324,J,PN270,I,N,N,12,203,1390,94,4,3,3,3,3,3,3,3,3,3,2,3,4,3,2,3,4,3,2,3,4,2,8,2,2,3,12,3,21,16,112,0,0,26,155
183,1404,J,PN271,I,D,M,8,127,1505,44,4,2,5,5,3,4,4,3,5,4,3,5,4,2,3,3,4,3,3,2,4,12,48,4,24,4,28,1,7,2,20,1,10,24,137
184,1714,J,PN272,I,N,C,14,424,4254,165,4,2,2,3,3,2,4,4,3,3,2,3,3,2,2,1,3,3,1,3,3,19,122,15,52,16,159,1,13,10,60,5,18,66,424
185,1724,J,PN273,I,D,C,12,254,3631,147,3,3,3,3,3,3,3,3,2,3,3,2,3,2,2,1,3,3,3,3,3,7,21,18,24,9,66,10,62,4,19,16,61,64,253
186,1754,J,PN274,B,N,M,20,39,5244,64,3,3,2,3,2,4,3,4,3,3,5,4,4,4,3,5,2,3,4,1,3,2,5,0,0,0,0,2,12,2,17,3,5,9,39
187,2024,J,PN275,I,D,M,10,210,4728,61,5,3,5,4,3,3,3,3,3,4,2,5,3,4,3,3,3,3,3,1,4,17,88,5,30,3,15,2,17,5,47,2,13,34,210
188,2164,J,PN276,I,N,M,19,210,1400,170,3,2,4,3,3,5,3,3,3,3,2,5,5,3,1,2,2,1,1,3,2,21,100,12,63,7,37,1,10,0,0,0,0,41,210
189,2416,J,PN277,I,P,C,13,767,1341,158,2,2,4,2,2,4,3,3,1,2,1,4,3,3,3,3,4,3,2,2,3,35,178,3,7,0,0,29,142,0,0,17,47,84,374
190,2415,J,PN277,I,P,C,13,767,1341,158,2,2,4,2,2,4,3,3,1,2,1,4,3,3,3,3,4,3,2,2,3,29,96,0,0,0,0,29,228,6,57,0,0,64,381
191,2454,J,PN278,I,N,M,5,175,1800,82,2,3,3,3,3,3,3,3,2,2,3,4,5,2,4,4,4,3,3,3,4,9,26,7,21,1,5,1,2,12,84,0,0,30,138
192,2614,J,PN279,I,N,M,48,1474,20850,151,4,2,2,1,3,3,4,3,2,2,2,2,2,2,3,3,4,3,4,2,4,79,309,85,488,9,51,18,145,30,268,409,671,630,1932
193,2884,J,PN280,I,N,M,18,879,9757,163,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,61,421,16,53,36,128,6,45,21,161,0,0,140,808
194,2944,J,PN281,I,N,M,12,6,6402,119,5,4,4,3,3,3,4,3,3,3,2,3,2,3,2,3,3,2,2,3,2,15,136,14,46,14,91,21,207,14,94,21,71,99,645
195,4404,J,PN282,I,N,M,38,640,4542,133,4,2,1,2,3,3,3,3,3,4,3,2,3,3,3,4,4,1,2,4,3,13,126,3,26,1,5,4,52,48,420,3,11,72,640
196,4634,J,PN283,I,D,M,12,230,3462,107,4,3,3,3,2,3,3,3,1,2,2,3,3,3,3,4,3,3,3,4,4,22,54,7,7,2,4,12,72,7,38,13,53,63,228
197,4674,J,PN284,I,N,C,16,1973,25397,166,5,2,4,2,2,2,2,4,2,3,2,2,3,2,3,3,2,2,3,3,3,125,859,131,239,23,161,9,64,65,514,49,135,402,1972
198,4914,J,PN285,I,N,M,6,454,11400,79,4,3,4,3,3,2,4,2,2,2,3,4,4,3,4,4,2,4,5,3,3,25,144,14,79,9,80,4,28,9,62,6,24,67,417
199,4944,J,PN286,I,N,C,20,284,3859,78,4,1,4,3,4,3,3,3,4,3,2,4,4,2,2,3,4,4,4,2,4,11,63,14,73,2,4,6,44,7,36,16,64,56,284
200,3934,N,PN287,W,N,N,20,983,4640,79,3,2,3,3,3,2,4,4,5,5,2,2,3,3,1,2,5,4,2,3,2,31,142,33,77,10,110,6,54,38,410,0,0,118,793
201,4044,N,PN288,W,N,I,25,631,6090,60,2,3,4,3,3,3,4,4,4,4,2,3,4,3,3,4,4,3,2,3,4,18,73,5,36,30,150,2,12,32,252,0,0,87,523
202,1464,D,PN289,T,N,P,13,1208,2050,85,4,3,2,5,3,3,3,3,4,2,2,1,2,3,3,3,5,4,2,3,3,108,425,25,96,13,87,22,175,41,341,20,84,229,1208
203,2424,D,PN290,T,N,N,4,134,90,47,3,4,2,4,3,3,4,4,3,3,4,4,5,3,4,3,5,3,4,3,3,10,44,7,20,4,24,0,0,7,42,2,4,30,134
204,2934,G,PN291,M,N,N,8,501,1900,73,3,3,3,3,3,3,4,4,3,3,3,2,5,3,3,2,4,3,3,3,4,35,103,0,0,22,81,0,0,33,223,0,0,90,407
205,4654,G,PN292,M,N,N,25,1853,9700,153,4,2,4,3,3,4,3,3,3,3,1,1,1,4,4,3,3,2,1,3,3,94,325,77,192,11,70,32,278,61,628,12,57,287,1550
206,4874,G,PN293,M,N,I,7,1331,5759,106,3,4,4,3,3,2,4,4,2,2,1,1,5,2,2,2,4,3,3,3,4,42,166,8,35,0,0,0,0,96,768,3,10,149,979
207,4884,G,PN294,M,N,M,6,127,987,73,2,3,4,3,3,3,3,2,4,4,4,5,5,4,4,3,3,2,2,3,3,12,62,5,17,3,12,0,0,6,23,0,0,26,114
208,3334,AE,PN295,W,N,I,5,332,517,53,3,3,4,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,3,3,3,14,53,2,8,17,65,3,19,22,119,3,9,61,273
209,3344,AE,PN296,W,N,I,5,213,391,60,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,3,3,4,3,3,19,51,10,17,15,71,3,6,8,33,7,15,62,193
210,1254,E,PN297,P,N,C,20,602,4462,135,5,2,2,3,3,2,3,4,3,4,2,2,3,1,2,3,3,2,4,3,4,42,134,36,137,12,51,8,58,36,204,7,18,141,602
211,1265,E,PN298,P,N,C,12,1062,5152,198,2,2,3,3,2,3,3,2,2,2,3,2,5,2,3,4,2,2,3,2,2,1,10,0,0,39,220,0,0,58,410,0,0,98,640
212,1266,E,PN298,P,N,C,12,1062,5152,198,2,2,3,3,2,3,3,2,2,2,3,2,5,2,3,4,2,2,3,2,2,38,137,15,71,0,0,0,0,0,0,0,0,53,208
213,1267,E,PN298,P,N,C,12,1062,5152,198,2,2,3,3,2,3,3,2,2,2,3,2,5,2,3,4,2,2,3,2,2,30,120,27,94,0,0,0,0,0,0,0,0,57,214
214,1444,E,PN299,P,N,C,5,364,2028,104,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,22,92,29,77,7,49,2,10,21,132,1,4,82,364
215,1694,E,PN300,P,N,C,12,592,4359,105,5,5,1,1,3,2,3,3,4,3,2,3,4,2,2,2,3,4,3,4,3,54,233,45,130,12,68,3,25,29,134,2,2,145,592
216,1994,E,PN301,P,N,C,13,362,1245,86,4,2,2,2,3,2,2,2,4,3,3,5,5,3,3,4,3,3,3,3,4,48,171,48,115,6,19,0,0,3,39,6,18,111,362
217,2064,E,PN302,P,N,C,8,539,2579,59,4,3,3,5,3,3,3,4,3,4,3,3,5,3,3,4,3,3,3,3,3,56,185,30,150,8,44,1,7,23,142,11,11,129,539
218,2344,E,PN303,P,N,C,16,1589,663,320,2,1,1,3,2,5,1,2,1,2,2,1,5,5,3,3,2,1,2,4,2,128,310,2,4,118,821,0,0,80,408,39,46,367,1589
219,2434,E,PN304,P,C,N,5,1785,4372,123,4,3,3,4,2,3,3,3,2,3,3,1,1,2,3,2,4,4,2,4,3,0,0,297,905,0,0,43,298,83,527,53,53,476,1783
220,2444,E,PN305,A,P,A,5,53,315,121,2,1,2,3,3,3,3,3,2,3,2,5,4,3,4,4,3,3,3,2,3,4,11,4,11,1,2,2,9,2,17,2,2,15,52
221,2494,E,PN306,P,D,M,5,1187,6011,235,2,1,2,3,2,2,1,1,3,4,2,3,4,3,3,3,3,1,2,3,4,69,552,23,188,14,46,0,0,40,401,0,0,146,1187
222,2724,E,PN307,A,P,A,3,142,750,118,3,3,2,4,3,2,3,4,2,3,2,3,4,3,2,2,3,4,2,3,3,22,64,12,46,0,0,3,27,0,0,2,5,39,142
223,2954,E,PN308,P,N,C,13,541,2340,127,3,2,2,3,4,2,3,4,2,2,4,2,5,3,3,3,4,3,1,3,2,33,122,40,219,4,44,0,0,33,144,3,12,113,541
224,3036,E,PN309,A,P,A,20,949,3765,227,2,3,2,3,3,1,1,2,2,3,3,3,4,2,3,3,1,4,2,3,2,4,32,4,26,5,25,0,0,3,21,0,0,16,104
225,3035,E,PN309,A,P,A,20,949,3765,227,2,3,2,3,3,1,1,2,2,3,3,3,4,2,3,3,1,4,2,3,2,36,227,25,165,26,197,4,31,28,215,10,10,129,845
226,3494,E,PN310,P,N,M,8,197,1070,57,2,3,5,3,3,3,2,3,3,3,4,5,3,4,3,3,3,4,4,3,3,20,60,1,6,6,40,6,20,6,43,3,5,42,174
227,3504,E,PN311,P,N,M,18,344,2020,84,3,4,3,3,3,3,3,3,4,4,3,4,2,3,2,4,3,2,3,3,3,27,97,13,44,7,34,16,87,7,41,7,23,77,326
228,3524,E,PN312,P,N,M,12,150,1220,67,4,4,3,3,3,2,4,4,4,4,3,5,4,2,3,1,2,4,4,3,3,5,16,1,3,20,80,4,20,2,12,5,14,37,145
229,4334,E,PN313,P,N,C,4,391,2706,105,4,4,3,1,1,2,4,4,2,3,3,3,5,3,1,4,3,2,3,2,4,37,109,39,116,0,0,0,0,22,90,76,76,174,391
230,4344,E,PN314,U,N,C,5,482,1911,62,3,2,5,3,3,3,2,2,3,4,4,3,5,2,4,5,4,3,3,2,3,49,170,64,162,0,0,1,7,16,67,25,76,155,482
231,4374,E,PN315,A,P,M,4,133,605,112,3,2,2,3,3,2,2,3,4,3,3,4,4,3,4,4,3,2,3,3,2,11,44,2,12,3,10,1,7,5,41,35,35,57,149
232,4394,E,PN316,P,N,P,8,107,673,85,5,4,1,3,2,4,3,3,1,2,4,5,5,5,4,4,3,3,2,4,2,29,62,5,5,1,7,0,0,4,32,1,1,40,107
233,4645,E,PN317,P,N,N,22,3804,37747,302,3,1,1,1,2,1,3,3,2,2,1,1,4,3,1,3,4,3,1,4,2,45,234,46,184,0,0,0,0,63,427,0,0,154,845
234,4646,E,PN317,P,N,N,22,3804,37747,302,3,1,1,1,2,1,3,3,2,2,1,1,4,3,1,3,4,3,1,4,2,138,1004,109,618,0,0,2,26,124,811,500,500,873,2959
235,4804,E,PN318,P,N,C,6,184,375,84,4,3,4,5,3,3,2,3,3,4,2,3,5,4,2,2,3,3,3,1,4,6,27,23,56,1,4,0,0,14,91,1,6,45,184
236,4814,E,PN319,P,N,C,7,272,1110,101,2,3,2,4,3,3,3,3,3,3,3,3,4,4,3,4,3,3,2,2,3,11,41,24,66,1,5,2,4,27,134,7,20,72,270
237,4934,E,PN320,A,P,A,24,842,13221,110,3,2,2,5,3,2,2,2,3,3,4,4,5,4,3,4,2,3,3,2,2,48,459,40,157,15,122,1,7,12,97,0,0,116,842
238,1934,V,PN321,B,N,P,27,1326,6948,103,3,3,3,3,3,3,5,1,3,3,3,1,3,4,4,3,1,5,3,3,3,185,586,65,252,35,189,0,0,82,431,11,11,378,1469
239,2056,V,PN322,B,N,C,18,1458,6777,121,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,55,363,0,0,0,0,5,24,39,277,195,213,294,877
240,2057,V,PN322,B,N,C,18,1458,6777,121,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2058,V,PN322,B,N,C,18,1458,6777,121,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,1,3,0,0,25,103,0,0,0,0,6,15,32,121
242,2059,V,PN322,B,N,C,18,1458,6777,121,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,67,320,0,0,21,91,3,14,0,0,7,7,98,432
243,2055,V,PN322,B,N,C,18,1458,6777,121,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,10,28,0,0,0,0,0,0,0,0,0,0,10,28
244,2126,V,PN323,B,N,A,24,1328,16835,124,2,3,3,2,2,3,3,3,4,3,2,3,2,3,3,3,3,2,3,2,4,47,132,39,121,2,7,38,156,0,0,39,80,165,496
245,2125,V,PN323,B,N,A,24,1328,16835,124,2,3,3,2,2,3,3,3,4,3,2,3,2,3,3,3,3,2,3,2,4,3,16,52,161,10,54,53,341,18,127,19,73,155,772
246,2476,V,PN324,B,N,C,9,454,3522,195,3,3,1,1,3,2,2,3,1,2,4,5,4,2,2,1,3,2,2,3,5,21,70,13,43,0,0,18,77,0,0,3,6,55,196
247,2475,V,PN324,B,N,C,9,454,3522,195,3,3,1,1,3,2,2,3,1,2,4,5,4,2,2,1,3,2,2,3,5,7,30,14,55,2,9,17,122,4,31,7,15,51,262
248,3314,V,PN325,B,N,C,7,553,3982,113,3,3,4,3,3,2,3,3,3,3,2,4,1,2,3,3,3,4,2,3,4,28,135,2,6,2,12,31,281,9,74,2,8,74,516
249,3324,V,PN326,B,N,M,5,285,1363,90,3,3,2,3,3,4,2,3,3,3,3,3,4,2,3,3,4,4,4,3,3,9,59,7,34,7,32,5,39,15,79,0,0,43,243
250,3464,V,PN327,B,N,N,33,497,14025,93,4,2,4,3,3,3,3,3,3,3,2,3,3,2,1,2,4,4,3,3,4,25,116,12,52,18,72,7,48,21,147,0,0,83,435
251,3604,V,PN328,B,N,N,20,523,8650,108,4,2,4,3,3,4,3,2,4,4,3,3,4,2,3,3,3,2,1,3,4,44,175,15,36,19,109,2,12,20,134,0,0,100,466
252,3714,V,PN329,W,N,N,12,807,7353,146,3,4,2,3,3,3,3,2,3,3,2,3,2,2,2,2,3,3,4,3,3,44,177,37,120,16,52,16,124,29,234,0,0,142,707
253,3824,V,PN330,B,N,N,3,33,749,64,2,3,4,3,3,3,3,2,4,4,3,5,5,3,3,3,4,3,4,3,3,0,0,5,8,4,18,1,7,0,0,0,0,10,33
254,1334,K,PN331,I,N,M,18,265,1695,77,3,3,3,3,3,3,3,4,3,3,3,4,5,3,2,3,3,3,4,3,3,9,32,17,49,6,42,0,0,12,86,5,18,49,227
255,1684,K,PN332,W,N,N,4,200,295,41,4,4,4,5,3,3,3,4,4,4,2,4,5,3,3,3,4,3,4,4,4,7,19,23,92,2,9,0,0,9,80,0,0,41,200
256,1894,K,PN333,W,N,I,15,317,933,65,5,4,4,2,4,4,4,4,3,3,4,3,2,2,2,2,4,4,4,2,2,9,27,7,7,14,67,11,80,16,116,2,20,59,317
257,1924,K,PN334,W,N,M,8,198,1521,90,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,23,60,9,33,0,0,0,0,16,83,8,22,56,198
258,1944,K,PN335,W,N,M,14,542,2388,72,1,2,2,3,3,2,3,4,4,4,2,3,5,1,3,5,4,4,4,3,3,26,176,13,62,13,127,0,0,18,124,0,0,70,489
259,2204,K,PN336,W,N,M,10,581,3110,82,3,3,3,3,3,4,3,3,4,4,4,3,1,3,3,3,3,3,3,3,3,25,28,8,8,2,7,36,390,19,105,0,0,90,538
260,2296,K,PN337,W,N,A,6,250,810,91,3,3,2,3,3,2,2,3,3,4,4,5,1,4,5,3,4,2,3,2,3,6,14,0,0,0,0,15,69,0,0,0,0,21,83
261,2295,K,PN337,W,N,A,6,250,810,91,3,3,2,3,3,2,2,3,3,4,4,5,1,4,5,3,4,2,3,2,3,1,4,1,4,0,0,5,18,2,18,0,0,9,44
262,2297,K,PN337,W,N,A,6,250,810,91,3,3,2,3,3,2,2,3,3,4,4,5,1,4,5,3,4,2,3,2,3,20,42,0,0,0,0,19,81,0,0,0,0,39,123
263,2686,K,PN338,W,D,I,5,83,557,112,3,3,4,5,3,1,3,3,2,3,1,4,5,2,2,3,3,3,3,3,3,1,1,0,0,0,0,0,0,1,2,4,11,6,14
264,2685,K,PN338,W,D,I,5,83,557,112,3,3,4,5,3,1,3,3,2,3,1,4,5,2,2,3,3,3,3,3,3,4,7,2,4,1,4,0,0,8,54,0,0,15,69
265,2824,K,PN339,W,D,C,7,173,546,98,4,3,2,2,3,3,3,3,3,3,2,5,5,3,2,3,3,3,3,3,3,14,18,16,42,1,5,0,0,2,10,80,98,113,173
266,2834,K,PN340,W,O,C,8,211,969,101,2,3,2,2,3,3,3,3,3,3,4,5,4,3,1,3,3,3,3,3,3,15,26,1,4,14,66,1,2,4,8,103,105,138,211
267,3004,K,PN341,W,N,P,7,256,320,66,3,3,4,3,3,3,3,3,3,3,4,3,5,3,3,4,3,3,3,3,4,28,86,35,114,0,0,0,0,14,28,0,0,77,228
268,3244,K,PN342,W,N,M,8,115,608,76,3,3,2,3,3,2,3,4,3,3,3,5,4,3,3,4,3,3,4,3,3,9,52,5,18,1,7,2,7,6,18,0,0,23,102
269,3254,K,PN343,W,N,N,4,362,728,65,3,3,3,3,3,3,3,5,3,3,3,4,5,5,3,5,3,2,1,3,3,20,59,21,123,12,42,0,0,9,54,26,60,88,338
270,3264,K,PN344,W,N,N,22,662,7470,103,3,3,2,3,3,4,3,3,3,3,3,3,5,3,3,3,3,3,2,3,3,87,260,48,186,12,47,0,0,19,105,2,8,168,606
271,3434,K,PN345,W,N,M,9,264,1300,86,3,4,3,3,3,4,2,2,4,4,4,4,5,3,3,3,2,4,4,3,4,27,93,1,1,13,65,0,0,12,74,0,0,53,233
272,4434,K,PN346,W,N,I,18,491,4448,110,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,15,51,0,0,0,0,14,123,41,317,0,0,70,491
273,4594,K,PN347,W,N,C,16,1840,10880,116,4,2,2,3,4,2,3,4,3,3,4,1,2,3,3,2,4,3,1,4,3,225,848,49,192,7,34,14,93,103,577,96,96,494,1840
274,4684,K,PN348,W,D,I,8,179,474,55,5,3,4,4,4,3,3,4,4,4,2,3,3,2,2,4,4,3,4,3,3,14,42,1,4,3,12,10,50,18,62,4,9,50,179
275,1314,M,PN349,B,N,M,22,137,4086,130,4,3,3,3,3,3,3,3,2,2,1,5,4,2,1,2,4,2,3,3,3,7,44,6,26,4,18,2,9,6,26,0,0,25,123
276,1354,M,PN350,B,N,C,3,105,316,48,2,3,3,5,3,2,3,4,3,3,4,5,5,2,3,5,3,3,4,4,4,8,13,23,51,1,2,6,29,1,10,0,0,39,105
277,1794,M,PN351,B,N,M,6,201,1242,74,4,3,3,3,3,3,3,2,4,4,4,5,5,2,3,3,4,3,1,3,4,15,43,18,52,9,47,1,5,6,38,0,0,49,185
278,1804,M,PN352,B,N,M,19,483,9984,84,3,2,3,3,3,3,4,3,3,3,3,4,5,3,3,2,3,4,3,3,3,41,171,16,49,24,127,1,10,12,84,1,6,95,447
279,2374,M,PN353,B,N,M,4,132,1152,119,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,9,47,5,21,1,7,4,28,4,29,0,0,23,132
280,3204,M,PN354,B,N,C,19,442,5574,108,4,3,3,3,3,3,3,4,2,2,3,4,3,2,3,1,3,3,3,3,4,14,112,12,63,30,128,7,62,12,48,0,0,75,413
281,3214,M,PN355,B,N,M,7,228,2352,114,3,3,2,3,3,3,3,3,3,3,3,4,5,3,3,3,3,2,2,3,3,16,45,33,111,2,10,1,5,9,38,0,0,61,209
282,3224,M,PN356,B,N,M,9,319,1616,63,4,3,3,3,3,3,4,3,4,4,2,3,5,3,3,3,4,3,4,3,4,21,75,18,59,7,32,0,0,17,105,0,0,63,271
283,3234,M,PN357,B,N,M,20,544,4726,119,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,2,1,3,3,3,29,84,44,162,12,55,1,10,24,163,0,0,110,474
